code,url,file ext,dominant colour,dominant colour name,closest name,dominant shade,top left pixel,top left pixel color,height,width,transparent
H424-B04,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/1950_PriceBreak_1963_tn.jpg,jpg,"(19, 19, 19)",black,black,mostly white,"(255, 255, 255)",white,170,170,False
H663-40,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h663_tn.jpg,jpg,"(203, 204, 201)",white,lightgrey,mostly black,"(0, 0, 0)",black,50,170,False
H677-24,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h677-24_tn.jpg,jpg,"(216, 216, 212)",white,lightgrey,mostly black,"(0, 0, 0)",black,159,170,False
H690-10,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h690_tn.jpg,jpg,"(14, 13, 11)",black,black,mostly black,"(0, 0, 0)",black,112,170,False
LB11-500,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lb11-500_tn.jpg,jpg,"(179, 183, 188)",white,silver,mostly black,"(1, 1, 1)",black,154,170,False
LD1-AL,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ld-al_tn.jpg,jpg,"(155, 156, 152)",white,darkgrey,mostly black,"(1, 1, 1)",black,131,170,False
LD12-Y,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ld1_tn.jpg,jpg,"(18, 23, 8)",black,black,mostly black,"(7, 2, 24)",black,69,170,False
LD16-050,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ld16-050_tn.jpg,jpg,"(207, 208, 213)",white,lightgrey,mostly black,"(1, 1, 1)",black,124,170,False
LD18,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ld1-pp_tn.jpg,jpg,"(154, 155, 160)",white,darkgrey,mostly black,"(1, 1, 1)",black,164,170,False
T710,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/t710_tn.jpg,jpg,"(10, 11, 12)",black,black,mostly black,"(1, 1, 1)",black,131,170,False
T720,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/t720_tn.jpg,jpg,"(16, 18, 24)",black,black,mostly black,"(0, 2, 1)",black,117,170,False
T726,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/t726_tn.jpg,jpg,"(9, 9, 9)",black,black,mostly black,"(1, 2, 0)",black,119,170,False
T760-046,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/t760_tn.jpg,jpg,"(5, 5, 5)",black,black,mostly black,"(1, 1, 1)",black,127,170,False
L73-250-X,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/11-146_tn.jpg,jpg,"(20, 16, 27)",black,black,mostly black,"(21, 27, 41)",black,170,170,False
LC17-093,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lc17-093_tn.jpg,jpg,"(18, 17, 17)",black,black,mostly black,"(1, 1, 1)",black,170,142,False
H425,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/H425_tn.jpg,jpg,"(17, 122, 243)",blue,dodgerblue,mostly white,"(11, 119, 253)",blue,170,120,False
H425-D,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/H425-D_tn.jpg,jpg,"(198, 239, 247)",white,paleturquoise,mostly white,"(11, 119, 253)",blue,170,120,False
H425-R,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/H425-R_tn.jpg,jpg,"(25, 128, 245)",green blue,dodgerblue,mostly black,"(11, 119, 253)",blue,170,120,False
LCV4-0010,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lcv4_tn.jpg,jpg,"(13, 14, 17)",black,black,mostly black,"(1, 0, 5)",black,170,80,False
LCVV5-0025,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lcvv5_tn.jpg,jpg,"(228, 64, 36)",red,chocolate,mostly black,"(0, 0, 0)",black,170,130,False
LGV3-0100,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lgv3_tn.jpg,jpg,"(115, 117, 120)",black,grey,mostly black,"(0, 0, 0)",black,170,140,False
TCV2-03,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tcv2_tn.jpg,jpg,"(9, 9, 8)",black,black,mostly black,"(0, 0, 0)",black,95,170,False
TCV3-03,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tcv3_tn.jpg,jpg,"(148, 148, 149)",white,lightslategrey,mostly black,"(0, 0, 0)",black,95,170,False
TSV-09,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tsv-pe_tn.jpg,jpg,"(198, 199, 197)",white,silver,mostly black,"(0, 0, 0)",black,170,163,False
